Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20210127|A|225844|1106|528049|B,Q,N
20210127|AA|1767474|11909|3526506|B,Q,N
20210127|AAA|86|0|86|Q,N
20210127|AAAU|60223|0|128643|Q,N
20210127|AACG|1918|0|17042|Q,N
20210127|AACQ|349991|25417|1139348|B,Q,N
20210127|AACQU|3952|0|48420|Q,N
20210127|AACQW|147895|3695|706954|Q,N
20210127|AADR|765|0|2202|B,Q
20210127|AAIC|46364|248|78305|Q,N
20210127|AAICpC|102|0|402|Q,N
20210127|AAL|16953392|504971|68110726|B,Q,N
20210127|AAMC|2999|0|3065|Q,N
20210127|AAME|471|0|5204|B,Q,N
20210127|AAN|58575|284|161881|B,Q,N
20210127|AAOI|465061|7375|1594507|B,Q,N
20210127|AAON|46903|0|63571|B,Q,N
20210127|AAP|479643|125|934454|B,Q,N
20210127|AAPL|12898976|121823|47731094|B,Q,N
20210127|AAT|61041|0|143928|Q,N
20210127|AAU|820365|8614|1767603|B,Q,N
20210127|AAWW|135547|25|204950|B,Q,N
20210127|AAXJ|135126|40|354637|B,Q,N
20210127|AB|176897|728|312305|B,Q,N
20210127|ABB|368988|0|864855|B,Q,N
20210127|ABBV|1489205|3546|3580609|B,Q,N
20210127|ABC|130098|535|202211|Q,N
20210127|ABCB|65241|0|115199|Q,N
20210127|ABCL|66822|13|215818|B,Q,N
20210127|ABCM|58816|0|63947|Q,N
20210127|ABEO|722571|7675|1362227|B,Q,N
20210127|ABEQ|315|0|1469|Q,N
20210127|ABEV|2035680|6602|4511397|Q,N
20210127|ABG|52238|172|113011|Q,N
20210127|ABIO|53517|0|309066|B,Q,N
20210127|ABM|41670|0|65128|Q,N
20210127|ABMD|54185|0|128127|B,Q,N
20210127|ABNB|1257477|13654|4057432|B,Q,N
20210127|ABR|75072|4627|339733|Q,N
20210127|ABRpA|97|0|97|Q
20210127|ABRpB|154|0|254|Q,N
20210127|ABRpC|746|0|2017|Q,N
20210127|ABST|6822|0|8563|B,Q
20210127|ABT|1483479|9244|3226519|B,Q,N
20210127|ABTX|3840|0|9144|Q,N
20210127|ABUS|342136|14397|1981825|B,Q,N
20210127|AC|1499|0|2419|Q,N
20210127|ACA|31429|0|54388|Q,N
20210127|ACAC|116762|0|332323|B,Q,N
20210127|ACACU|15508|20|66670|Q,N
20210127|ACACW|35149|0|51301|Q,N
20210127|ACAD|176059|987|662704|B,Q,N
20210127|ACB|3302444|63051|12902045|B,Q,N
20210127|ACBI|6470|0|17368|Q,N
20210127|ACC|92403|0|211102|B,Q,N
20210127|ACCD|138811|6267|424094|B,Q,N
20210127|ACCO|30577|850|101982|Q,N
20210127|ACEL|44091|0|57648|Q,N
20210127|ACER|18438|419|235265|B,Q,N
20210127|ACES|45236|3|145683|B,Q,N
20210127|ACET|7290|0|19277|Q,N
20210127|ACEV|171003|2415|313238|B,Q,N
20210127|ACEVU|521|0|1435|Q,N
20210127|ACEVW|62272|7691|129842|Q,N
20210127|ACGL|269019|2|1050743|B,Q,N
20210127|ACGLO|5005|0|6710|Q,N
20210127|ACGLP|6740|0|11839|Q,N
20210127|ACH|11108|0|39815|Q,N
20210127|ACHC|29985|101|76393|B,Q,N
20210127|ACHV|53706|0|158828|B,Q,N
20210127|ACI|551584|6529|3003895|B,Q,N
20210127|ACIA|84586|0|489976|B,Q,N
20210127|ACIC|63805|0|127956|B,Q,N
